-0.5610  	0.08372  	0.07046  	-1.1497  	-0.7576  	-1.0847  	0.11525  	-0.5926  	0.09535  	0.47955  	0.10851  	0.12516  	0.04217  	-0.2660  	-0.7276  	1.12179  	0.31703  	0.32935  	0.53578  	0.58459  	-0.7471  	-0.3182  	-0.3122  	0.09088  	0.23780  	0.12735  	-0.4233  	0.13166  	-0.0677  	0.03072  	0.09993  	0.18533  	-0.2687  	0.03762  	0.21009  	0.20692  	0.14281  	0.10084  	-0.3883  	0.35833  	0.63698  	0.01278  	-0.0440  	0.35373  	0.04101  	-0.0355  	0.01086  	0.01639  	-0.0166  	0.07977  	0.03290  	-0.0020  	-0.0281  	0.03173  	-0.0165  	-0.0757  	-0.0231  	-0.0268  	-0.0207  	0.03114  	-0.0044  	-0.0107  	0.09712  	0.00256  	0.03295  	-0.0340  	0.05205  	0.00742  	-0.0179  	0.52231  	1.05715  	129.237  	107.608  	
-0.7025  	0.07410  	0.00648  	-1.2050  	-0.8277  	-1.1620  	0.11896  	-0.6507  	0.08569  	0.42249  	0.10034  	0.07853  	0.01466  	-0.3149  	-0.7361  	1.03108  	0.37710  	0.28235  	0.54233  	0.52347  	-0.6941  	-0.3300  	-0.2399  	0.13361  	0.20532  	0.12980  	-0.3787  	0.04899  	-0.1019  	0.02532  	0.10633  	0.17857  	-0.2795  	0.03704  	0.21561  	0.19591  	0.19192  	0.09602  	-0.4234  	0.32853  	0.65162  	0.00894  	-0.0545  	0.35119  	0.04893  	-0.0329  	0.00873  	-0.0079  	-0.0265  	0.08600  	0.02475  	-0.0032  	-0.0303  	0.02726  	-0.0193  	-0.0731  	-0.0225  	-0.0234  	-0.0173  	0.02307  	-0.0017  	-0.0101  	0.09967  	-0.0020  	0.03200  	-0.0328  	0.05403  	0.00621  	-0.0171  	0.52556  	1.05715  	129.237  	107.608  	
-0.6734  	0.07484  	0.00221  	-1.3021  	-0.8484  	-1.1281  	0.09323  	-0.6754  	0.07556  	0.37272  	0.02948  	0.02999  	-0.0069  	-0.3528  	-0.6848  	0.97780  	0.38630  	0.29178  	0.53029  	0.50865  	-0.7066  	-0.3125  	-0.1488  	0.09116  	0.20042  	0.14839  	-0.4261  	0.07072  	-0.1040  	0.02593  	0.12736  	0.17907  	-0.2992  	0.04449  	0.15529  	0.17669  	0.18413  	0.10125  	-0.3937  	0.32474  	0.67709  	0.00734  	-0.0481  	0.36874  	0.04028  	-0.0369  	0.01041  	-0.0032  	-0.0301  	0.08864  	0.02949  	-0.0018  	-0.0284  	0.02773  	-0.0221  	-0.0685  	-0.0276  	-0.0231  	-0.0182  	0.02440  	-0.0001  	-0.0075  	0.09948  	-4.9464  	0.03126  	-0.0320  	0.05558  	0.00508  	-0.0166  	0.52881  	1.05715  	129.237  	107.608  	
-0.6783  	0.09189  	0.04682  	-1.2256  	-0.7575  	-1.1566  	0.08866  	-0.6069  	0.09209  	0.39913  	0.00254  	0.10965  	0.02549  	-0.2485  	-0.6264  	0.99956  	0.37995  	0.29367  	0.54086  	0.49387  	-0.7122  	-0.2817  	-0.1719  	0.07695  	0.17690  	0.13632  	-0.4069  	0.05441  	-0.0754  	0.05088  	0.11573  	0.16909  	-0.2891  	0.04520  	0.13293  	0.16141  	0.16369  	0.10711  	-0.3838  	0.32920  	0.66692  	0.00959  	-0.0467  	0.35660  	0.03111  	-0.0428  	0.01681  	0.02071  	-0.0250  	0.08319  	0.02411  	-0.0010  	-0.0312  	0.03282  	-0.0230  	-0.0770  	-0.0213  	-0.0268  	-0.0225  	0.02610  	0.00027  	-0.0070  	0.09710  	-0.0012  	0.03073  	-0.0317  	0.05670  	0.00403  	-0.0163  	0.53206  	1.05715  	129.237  	107.608  	
-0.5238  	0.14009  	0.02076  	-0.9701  	-0.5820  	-1.0974  	0.10918  	-0.5072  	0.13359  	0.33639  	-0.0298  	0.25195  	0.09094  	-0.0747  	-0.3649  	1.00143  	0.36885  	0.24416  	0.52483  	0.53332  	-0.6239  	-0.2832  	-0.2201  	0.15172  	0.12282  	0.13663  	-0.3964  	0.03249  	-0.1371  	0.03508  	0.09646  	0.15410  	-0.2390  	0.05399  	0.24893  	0.07857  	0.17249  	0.09019  	-0.3940  	0.36313  	0.60116  	0.01295  	-0.0738  	0.33868  	0.03809  	-0.0263  	0.00917  	0.01639  	-0.0292  	0.08331  	0.02144  	-0.0060  	-0.0368  	0.03218  	-0.0329  	-0.0711  	-0.0268  	-0.0330  	-0.0223  	0.02959  	-0.0034  	-0.0060  	0.08900  	-0.0016  	0.03042  	-0.0318  	0.05741  	0.00308  	-0.0163  	0.53532  	1.05715  	129.237  	107.608  	
-0.1793  	0.25096  	0.22921  	-0.8177  	-0.5730  	-0.8724  	0.18562  	-0.4103  	0.17591  	0.32713  	-0.2188  	0.20421  	0.23522  	0.23245  	-0.0904  	0.95032  	0.37875  	0.21708  	0.50446  	0.46005  	-0.5835  	-0.2087  	-0.2152  	0.19486  	0.14642  	0.10934  	-0.3204  	-0.0626  	-0.1822  	0.05915  	0.12767  	0.18260  	-0.2120  	0.03523  	0.31216  	0.03153  	0.21902  	0.09073  	-0.3971  	0.36595  	0.59265  	0.00347  	-0.0412  	0.33607  	0.03057  	-0.0285  	0.00741  	0.04352  	-0.0102  	0.08072  	0.01224  	0.00037  	-0.0363  	0.01719  	-0.0303  	-0.0559  	-0.0356  	-0.0408  	-0.0226  	0.03606  	0.00679  	0.00368  	0.08111  	-0.0090  	0.03031  	-0.0323  	0.05769  	0.00221  	-0.0165  	0.53857  	1.05715  	129.237  	107.608  	
-0.0055  	0.25932  	0.32751  	-0.7076  	-0.5452  	-0.7092  	0.19920  	-0.3776  	0.20277  	0.29119  	-0.3061  	0.11258  	0.27900  	0.35327  	-0.0078  	0.99124  	0.35207  	0.16512  	0.49659  	0.42344  	-0.5319  	-0.1612  	-0.1818  	0.18292  	0.21419  	0.08325  	-0.2305  	-0.1717  	-0.1754  	0.08947  	0.10755  	0.18892  	-0.2097  	0.04689  	0.33918  	0.02201  	0.24354  	0.10633  	-0.3839  	0.36150  	0.56727  	0.01315  	-0.0468  	0.35865  	0.03572  	-0.0343  	-0.0099  	0.05725  	0.00628  	0.08212  	0.02485  	4.93587  	-0.0329  	0.02113  	-0.0234  	-0.0489  	-0.0413  	-0.0314  	-0.0340  	0.02821  	0.00431  	0.00229  	0.08792  	-0.0077  	0.03041  	-0.0333  	0.05754  	0.00143  	-0.0169  	0.54182  	1.05715  	129.237  	107.608  	
-0.0337  	0.25193  	0.26456  	-0.6781  	-0.5410  	-0.8185  	0.22426  	-0.4059  	0.21403  	0.28367  	-0.2869  	0.09151  	0.24047  	0.21633  	-0.1303  	1.01134  	0.32495  	0.22872  	0.51267  	0.49288  	-0.5948  	-0.2047  	-0.2910  	0.13208  	0.28820  	0.08893  	-0.2759  	-0.0419  	-0.0604  	0.10662  	0.07848  	0.17273  	-0.2212  	0.06777  	0.30108  	0.07316  	0.18205  	0.10226  	-0.3566  	0.38145  	0.56263  	0.02280  	-0.0503  	0.36555  	0.03221  	-0.0366  	-0.0062  	0.06211  	-0.0075  	0.07603  	0.02103  	0.00066  	-0.0305  	0.02989  	-0.0241  	-0.0590  	-0.0307  	-0.0356  	-0.0245  	0.02611  	-0.0003  	-0.0061  	0.08478  	-0.0027  	0.03069  	-0.0359  	0.05683  	0.00140  	-0.0185  	0.54477  	1.05715  	129.237  	107.608  	
-0.1541  	0.23227  	0.11699  	-0.5209  	-0.3967  	-0.8446  	0.16450  	-0.4721  	0.17501  	0.28340  	-0.3280  	0.18968  	0.25247  	0.16080  	-0.0773  	1.00889  	0.32665  	0.22108  	0.49741  	0.54998  	-0.6776  	-0.1856  	-0.3291  	0.12340  	0.29343  	0.09170  	-0.3026  	0.07934  	0.00102  	0.15157  	0.05444  	0.16230  	-0.2338  	0.06763  	0.28580  	0.07768  	0.10901  	0.06907  	-0.3187  	0.39288  	0.55133  	0.03085  	-0.0706  	0.34900  	0.05281  	-0.0310  	-0.0036  	0.04213  	-0.0087  	0.06589  	0.02730  	0.00178  	-0.0361  	0.02802  	-0.0249  	-0.0676  	-0.0259  	-0.0257  	-0.0224  	0.02312  	-0.0049  	-0.0131  	0.09343  	-0.0051  	0.03027  	-0.0382  	0.05553  	0.00077  	-0.0192  	0.54534  	1.05715  	129.237  	107.608  	
-0.2080  	0.21403  	0.05977  	-0.4153  	-0.3618  	-0.8001  	0.13211  	-0.4848  	0.13247  	0.24380  	-0.3809  	0.21973  	0.23794  	0.17412  	0.04583  	1.00053  	0.35390  	0.21263  	0.51345  	0.51819  	-0.6683  	-0.1469  	-0.2648  	0.13272  	0.28486  	0.09467  	-0.2983  	0.02300  	-0.0159  	0.17216  	0.04986  	0.16904  	-0.2586  	0.06868  	0.31365  	0.05057  	0.11849  	0.08003  	-0.3501  	0.37299  	0.53542  	0.01310  	-0.0631  	0.34979  	0.04377  	-0.0326  	-0.0017  	0.02750  	-0.0066  	0.06345  	0.03027  	-0.0028  	-0.0296  	0.01949  	-0.0279  	-0.0631  	-0.0346  	-0.0284  	-0.0269  	0.02969  	-0.0034  	-0.0107  	0.08833  	-0.0037  	0.03131  	-0.0405  	0.05385  	-8.3195  	-0.0197  	0.54908  	1.05715  	129.237  	107.608  	
